"";"lm1";"l0";"l1";"a";"l_stop"
"69";-5849,71381418612;-5849,44398052384;-5849,18996818154;0,941366396459561;-5845,11178316668
"70";-5849,44398052384;-5849,18996818154;-5848,95077056377;0,94167714692526;-5845,08870075087
"71";-5849,18996818154;-5848,95077056377;-5848,72545288587;0,941972917574725;-5845,06779612356
"72";-5848,95077056377;-5848,72545288587;-5848,51314606919;0,942255479730487;-5845,04879550457
"73";-5848,72545288587;-5848,51314606919;-5848,31304129013;0,942526397369602;-5845,03146456842
"74";-5848,51314606919;-5848,31304129013;-5848,12438509615;0,942787048183364;-5845,01560272093
"75";-5848,31304129013;-5848,12438509615;-5847,94647501488;0,943038643592895;-5845,00103810274
"76";-5848,12438509615;-5847,94647501488;-5847,77865559377;0,943282246301937;-5844,98762332978
"77";-5847,94647501488;-5847,77865559377;-5847,62031481714;0,943518786984566;-5844,97523179709
"78";-5847,77865559377;-5847,62031481714;-5847,47088085518;0,943749077997053;-5844,96375459313
"79";-5847,62031481714;-5847,47088085518;-5847,32981910605;0,943973828185855;-5844,95309774487
"80";-5847,47088085518;-5847,32981910605;-5847,19662949789;0,944193652705972;-5844,94318004749
"81";-5847,32981910605;-5847,19662949789;-5847,07084402184;0,944409085496212;-5844,93393104851
"82";-5847,19662949789;-5847,07084402184;-5846,95202447157;0,944620587422695;-5844,92528947832
"83";-5847,07084402184;-5846,95202447157;-5846,83976036753;0,944828555345956;-5844,91720184303
"84";-5846,95202447157;-5846,83976036753;-5846,7336670474;0,945033330595831;-5844,90962122524
"85";-5846,83976036753;-5846,7336670474;-5846,63338390637;0,945235203226282;-5844,90250639438
"86";-5846,7336670474;-5846,63338390637;-5846,53857277299;0,945434421142018;-5844,89582086082
"87";-5846,63338390637;-5846,53857277299;-5846,44891640779;0,945631193306565;-5844,88953225413
"88";-5846,53857277299;-5846,44891640779;-5846,3641171138;0,945825695721874;-5844,88361169146
"89";-5846,44891640779;-5846,3641171138;-5846,28389544895;0,946018074851653;-5844,8780333065
"90";-5846,3641171138;-5846,28389544895;-5846,20798903164;0,946208451908371;-5844,87277381367
"91";-5846,28389544895;-5846,20798903164;-5846,13615143158;0,946396926731269;-5844,86781214107
"92";-5846,20798903164;-5846,13615143158;-5846,06815113899;0,946583579390018;-5844,86312916948
"93";-5846,13615143158;-5846,06815113899;-5846,00377060569;0,946768474653743;-5844,85870743283
"94";-5846,06815113899;-5846,00377060569;-5845,94280535265;0,946951662426042;-5844,85453095325
"95";-5846,00377060569;-5845,94280535265;-5845,88506313854;0,947133182276315;-5844,85058500344
"96";-5845,94280535265;-5845,88506313854;-5845,83036318486;0,947313062175077;-5844,84685602442
"97";-5845,88506313854;-5845,83036318486;-5845,77853545335;0,947491323857968;-5844,84333141552
"98";-5845,83036318486;-5845,77853545335;-5845,72941997168;0,947667980651396;-5844,8399995
"99";-5845,77853545335;-5845,72941997168;-5845,68286620414;0,947843041686214;-5844,83684937237
"100";-5845,72941997168;-5845,68286620414;-5845,63873246385;0,948016511293232;-5844,83387085217
"101";-5845,68286620414;-5845,63873246385;-5845,59688536366;0,948188390767379;-5844,83105440087
"102";-5845,63873246385;-5845,59688536366;-5845,55719930301;0,948358678940035;-5844,82839106812
"103";-5845,59688536366;-5845,55719930301;-5845,51955598812;0,948527373876716;-5844,82587242654
"104";-5845,55719930301;-5845,51955598812;-5845,4838439834;0,948694471572268;-5844,82349055777
"105";-5845,51955598812;-5845,4838439834;-5845,44995829172;0,948859968465365;-5844,82123798454
"106";-5845,4838439834;-5845,44995829172;-5845,41779996174;0,949023862031938;-5844,81910763758
"107";-5845,44995829172;-5845,41779996174;-5845,38727572034;0,949186149098846;-5844,8170928542
"108";-5845,41779996174;-5845,38727572034;-5845,35829762857;0,949346828957112;-5844,81518731638
"109";-5845,38727572034;-5845,35829762857;-5845,33078275941;0,949505901510015;-5844,81338505502
"110";-5845,35829762857;-5845,33078275941;-5845,30465289608;0,949663368569722;-5844,8116804161
"111";-5845,33078275941;-5845,30465289608;-5845,27983424927;0,949819235264847;-5844,81006803002
"112";-5845,30465289608;-5845,27983424927;-5845,25625719234;0,949973506513936;-5844,80854283367
"113";-5845,27983424927;-5845,25625719234;-5845,23385601301;0,950126192530695;-5844,8071
"114";-5845,25625719234;-5845,23385601301;-5845,21256868071;0,950277303477871;-5844,80573497812
"115";-5845,23385601301;-5845,21256868071;-5845,19233662844;0,95042685470079;-5844,80444343158
"116";-5845,21256868071;-5845,19233662844;-5845,17310454815;0,950574861226431;-5844,80322127618
"117";-5845,19233662844;-5845,17310454815;-5845,15482019892;0,950721345173686;-5844,80206460595
"118";-5845,17310454815;-5845,15482019892;-5845,13743422693;0,950866325988311;-5844,80096976267
"119";-5845,15482019892;-5845,13743422693;-5845,12089999664;0,951009831799206;-5844,79993323645
"120";-5845,13743422693;-5845,12089999664;-5845,10517343225;0,951151889805573;-5844,79895173035
"121";-5845,12089999664;-5845,10517343225;-5845,09021286902;0,951292530333913;-5844,79802211987
"122";-5845,10517343225;-5845,09021286902;-5845,07597891356;0,95143179020125;-5844,7971414234
"123";-5845,09021286902;-5845,07597891356;-5845,0624343128;0,951569702718875;-5844,79630685861
"124";-5845,07597891356;-5845,0624343128;-5845,04954383077;0,951706311343711;-5844,79551574872
"125";-5845,0624343128;-5845,04954383077;-5845,03727413301;0,951841655925482;-5844,79476559873
"126";-5845,04954383077;-5845,03727413301;-5845,02559367785;0,951975785436434;-5844,79405401438
"127";-5845,03727413301;-5845,02559367785;-5845,01447261436;0,952108742903854;-5844,79337877775
"128";-5845,02559367785;-5845,01447261436;-5845,00388268637;0,952240585072134;-5844,79273773732
"129";-5845,01447261436;-5845,00388268637;-5844,99379714223;0,952371361283307;-5844,79212890935
