"";"lm1";"l0";"l1";"a";"l_stop0";"l_stop"
"70";-5849,18996818154;-5849,18996818154;-5848,95077056377;Inf;NA;-5849,18996818154
"71";-5848,95077056377;-5848,95077056377;-5848,72545288587;Inf;NA;-5848,95077056377
"72";-5848,72545288587;-5848,72545288587;-5848,51314606919;Inf;NA;-5848,72545288587
"73";-5848,51314606919;-5848,51314606919;-5848,31304129013;Inf;NA;-5848,51314606919
"74";-5848,31304129013;-5848,31304129013;-5848,12438509615;Inf;NA;-5848,31304129013
"75";-5848,12438509615;-5848,12438509615;-5847,94647501488;Inf;NA;-5848,12438509615
"76";-5847,94647501488;-5847,94647501488;-5847,77865559377;Inf;NA;-5847,94647501488
"77";-5847,77865559377;-5847,77865559377;-5847,62031481714;Inf;NA;-5847,77865559377
"78";-5847,62031481714;-5847,62031481714;-5847,47088085518;Inf;NA;-5847,62031481714
"79";-5847,47088085518;-5847,47088085518;-5847,32981910605;Inf;NA;-5847,47088085518
"80";-5847,32981910605;-5847,32981910605;-5847,19662949789;Inf;NA;-5847,32981910605
"81";-5847,19662949789;-5847,19662949789;-5847,07084402184;Inf;NA;-5847,19662949789
"82";-5847,07084402184;-5847,07084402184;-5846,95202447157;Inf;NA;-5847,07084402184
"83";-5846,95202447157;-5846,95202447157;-5846,83976036753;Inf;NA;-5846,95202447157
"84";-5846,83976036753;-5846,83976036753;-5846,7336670474;Inf;NA;-5846,83976036753
"85";-5846,7336670474;-5846,7336670474;-5846,63338390637;Inf;NA;-5846,7336670474
"86";-5846,63338390637;-5846,63338390637;-5846,53857277299;Inf;NA;-5846,63338390637
"87";-5846,53857277299;-5846,53857277299;-5846,44891640779;Inf;NA;-5846,53857277299
"88";-5846,44891640779;-5846,44891640779;-5846,3641171138;Inf;NA;-5846,44891640779
"89";-5846,3641171138;-5846,3641171138;-5846,28389544895;Inf;NA;-5846,3641171138
"90";-5846,28389544895;-5846,28389544895;-5846,20798903164;Inf;NA;-5846,28389544895
"91";-5846,20798903164;-5846,20798903164;-5846,13615143158;Inf;NA;-5846,20798903164
"92";-5846,13615143158;-5846,13615143158;-5846,06815113899;Inf;NA;-5846,13615143158
"93";-5846,06815113899;-5846,06815113899;-5846,00377060569;Inf;NA;-5846,06815113899
"94";-5846,00377060569;-5846,00377060569;-5845,94280535265;Inf;NA;-5846,00377060569
"95";-5845,94280535265;-5845,94280535265;-5845,88506313854;Inf;NA;-5845,94280535265
"96";-5845,88506313854;-5845,88506313854;-5845,83036318486;Inf;NA;-5845,88506313854
"97";-5845,83036318486;-5845,83036318486;-5845,77853545335;Inf;NA;-5845,83036318486
"98";-5845,77853545335;-5845,77853545335;-5845,72941997168;Inf;NA;-5845,77853545335
"99";-5845,72941997168;-5845,72941997168;-5845,68286620414;Inf;NA;-5845,72941997168
"100";-5845,68286620414;-5845,68286620414;-5845,63873246385;Inf;NA;-5845,68286620414
"101";-5845,63873246385;-5845,63873246385;-5845,59688536366;Inf;NA;-5845,63873246385
"102";-5845,59688536366;-5845,59688536366;-5845,55719930301;Inf;NA;-5845,59688536366
"103";-5845,55719930301;-5845,55719930301;-5845,51955598812;Inf;NA;-5845,55719930301
"104";-5845,51955598812;-5845,51955598812;-5845,4838439834;Inf;NA;-5845,51955598812
"105";-5845,4838439834;-5845,4838439834;-5845,44995829172;Inf;NA;-5845,4838439834
"106";-5845,44995829172;-5845,44995829172;-5845,41779996174;Inf;NA;-5845,44995829172
"107";-5845,41779996174;-5845,41779996174;-5845,38727572034;Inf;NA;-5845,41779996174
"108";-5845,38727572034;-5845,38727572034;-5845,35829762857;Inf;NA;-5845,38727572034
"109";-5845,35829762857;-5845,35829762857;-5845,33078275941;Inf;NA;-5845,35829762857
"110";-5845,33078275941;-5845,33078275941;-5845,30465289608;Inf;NA;-5845,33078275941
"111";-5845,30465289608;-5845,30465289608;-5845,27983424927;Inf;NA;-5845,30465289608
"112";-5845,27983424927;-5845,27983424927;-5845,25625719234;Inf;NA;-5845,27983424927
